Order Type,Order Number,Datetime
long,3000,21.02.2023 03:18:48
short,3000,21.02.2023 06:56:00
short,3000,21.02.2023 08:25:30
short,3000,21.02.2023 08:29:13
long,3000,21.02.2023 08:30:21
long,3000,21.02.2023 08:38:50
long,3000,21.02.2023 08:43:11
long,3000,21.02.2023 08:47:45
long,3000,21.02.2023 09:18:48
long,3000,21.02.2023 10:20:01
long,3000,21.02.2023 10:48:50
long,3000,21.02.2023 11:52:16
long,3000,21.02.2023 11:56:41
long,3000,21.02.2023 12:07:33
long,3000,21.02.2023 12:18:48
long,3000,21.02.2023 15:13:21
long,3000,21.02.2023 15:16:56
short,3000,21.02.2023 15:18:48
long,3000,21.02.2023 16:12:12
long,3000,21.02.2023 16:15:47
long,3000,21.02.2023 16:32:51
short,3000,21.02.2023 17:54:23
short,3000,21.02.2023 18:03:32
long,3000,21.02.2023 18:18:48
long,3000,21.02.2023 18:36:23
long,3000,21.02.2023 18:42:18
long,3000,21.02.2023 20:21:33
long,3000,21.02.2023 21:13:05
long,3000,21.02.2023 21:16:37
long,3000,21.02.2023 21:22:18
long,3000,21.02.2023 21:25:39
long,3000,21.02.2023 22:18:48
short,3000,21.02.2023 22:39:18
long,3000,22.02.2023 00:51:41
long,3000,22.02.2023 01:55:19
long,3000,22.02.2023 02:00:34
long,3000,22.02.2023 02:06:34
long,3000,22.02.2023 02:18:47
long,3000,22.02.2023 02:31:44
short,3000,22.02.2023 02:45:09
long,3000,22.02.2023 03:17:54
long,3000,22.02.2023 04:30:13
long,3000,22.02.2023 05:25:33
long,3000,22.02.2023 06:59:11
short,3000,22.02.2023 07:22:46
long,3000,22.02.2023 08:34:19
long,3000,22.02.2023 08:41:16
short,3000,22.02.2023 09:20:30
long,3000,22.02.2023 13:11:01
short,3000,22.02.2023 13:18:48
long,3000,22.02.2023 14:25:24
long,3000,22.02.2023 15:00:03
long,3000,22.02.2023 15:03:57
long,3000,22.02.2023 15:16:43
long,3000,22.02.2023 15:22:06
short,3000,22.02.2023 15:26:03
long,3000,22.02.2023 16:53:50
long,3000,22.02.2023 17:18:48
short,3000,22.02.2023 19:04:28
short,3000,22.02.2023 19:18:48
long,3000,22.02.2023 19:24:17
short,3000,22.02.2023 22:37:20
short,3000,22.02.2023 23:01:18
short,3000,22.02.2023 23:05:06
long,3000,22.02.2023 23:18:47
short,3000,23.02.2023 02:07:09
short,3000,23.02.2023 02:32:27
short,3000,23.02.2023 02:36:43
short,3000,23.02.2023 02:40:40
short,3000,23.02.2023 02:44:05
long,3000,23.02.2023 03:18:48
long,3000,23.02.2023 03:49:32
long,3000,23.02.2023 05:35:25
long,3000,23.02.2023 09:35:00
long,3000,23.02.2023 11:20:11
long,3000,23.02.2023 11:23:29
long,3000,23.02.2023 11:28:01
long,3000,23.02.2023 11:35:34
long,3000,23.02.2023 11:48:48
long,3000,23.02.2023 12:05:52
long,3000,23.02.2023 12:18:47
short,3000,23.02.2023 12:23:46
short,3000,23.02.2023 12:50:07
long,3000,23.02.2023 13:18:47
short,3000,23.02.2023 13:19:11
long,3000,23.02.2023 13:30:50
long,3000,23.02.2023 13:48:06
long,3000,23.02.2023 13:52:10
short,3000,23.02.2023 14:10:28
long,3000,23.02.2023 14:18:48
long,3000,23.02.2023 14:36:16
long,3000,23.02.2023 15:07:03
long,3000,23.02.2023 16:59:44
short,3000,23.02.2023 17:18:48
short,3000,23.02.2023 17:45:02
long,3000,23.02.2023 17:52:47
long,3000,23.02.2023 18:05:35
long,3000,23.02.2023 18:18:48
short,3000,23.02.2023 18:49:57
long,3000,23.02.2023 21:55:26
long,3000,23.02.2023 22:04:15
short,3000,24.02.2023 00:08:03
short,3000,24.02.2023 01:09:35
long,3000,24.02.2023 02:08:55
long,3000,24.02.2023 02:56:23
long,3000,24.02.2023 06:06:41
long,3000,24.02.2023 08:13:22
short,3000,24.02.2023 08:32:24
short,3000,24.02.2023 12:15:47
long,3000,24.02.2023 13:09:10
long,3000,24.02.2023 13:31:48
long,3000,24.02.2023 13:38:55
long,3000,24.02.2023 14:18:48
short,3000,24.02.2023 14:33:44
long,3000,24.02.2023 15:16:35
long,3000,24.02.2023 15:25:09
long,3000,24.02.2023 15:32:35
long,3000,24.02.2023 15:39:31
long,3000,24.02.2023 15:44:04
long,3000,24.02.2023 15:57:52
long,3000,24.02.2023 16:01:25
long,3000,24.02.2023 16:04:45
short,3000,24.02.2023 16:07:28
long,3000,24.02.2023 16:13:58
long,3000,24.02.2023 16:18:48
short,3000,24.02.2023 16:42:46
long,3000,24.02.2023 17:50:05
long,3000,24.02.2023 19:12:20
long,3000,24.02.2023 19:34:59
short,3000,24.02.2023 19:39:02
short,3000,24.02.2023 19:50:26
short,3000,24.02.2023 20:02:24
long,3000,24.02.2023 20:18:48
long,3000,24.02.2023 21:50:05
long,3000,24.02.2023 22:18:47
long,3000,24.02.2023 22:35:23
long,3000,24.02.2023 22:39:41
long,3000,24.02.2023 23:18:47
long,3000,25.02.2023 10:46:35
long,3000,25.02.2023 11:00:24
short,3000,25.02.2023 11:18:48
long,3000,25.02.2023 12:47:30
long,3000,25.02.2023 19:33:39
long,3000,25.02.2023 19:52:31
short,3000,25.02.2023 20:18:47
long,3000,25.02.2023 20:46:32
long,3000,25.02.2023 21:18:47
short,3000,25.02.2023 22:53:35
short,3000,25.02.2023 23:25:07
long,3000,28.02.2023 07:47:45
long,3000,28.02.2023 07:55:38
short,3000,28.02.2023 10:40:11
long,3000,28.02.2023 11:18:48
short,3000,28.02.2023 12:19:28
short,3000,28.02.2023 14:40:20
short,3000,28.02.2023 14:46:18
long,3000,28.02.2023 14:50:53
long,3000,28.02.2023 15:18:48
long,3000,28.02.2023 19:18:33
long,3000,28.02.2023 19:22:51
long,3000,28.02.2023 19:27:58
long,3000,28.02.2023 20:02:36
long,3000,28.02.2023 20:18:48
long,3000,28.02.2023 21:04:34
long,3000,28.02.2023 21:10:33
long,3000,28.02.2023 21:18:48
long,3000,28.02.2023 21:35:00
long,3000,28.02.2023 21:42:21
long,3000,28.02.2023 22:18:48
long,3000,01.03.2023 00:50:21
long,3000,01.03.2023 00:53:37
long,3000,01.03.2023 01:18:48
short,3000,01.03.2023 01:34:25
short,3000,01.03.2023 01:52:58
short,3000,01.03.2023 03:07:13
short,3000,01.03.2023 03:13:49
long,3000,01.03.2023 03:18:48
short,3000,01.03.2023 04:30:15
short,3000,01.03.2023 04:38:20
short,3000,01.03.2023 04:46:14
short,3000,01.03.2023 04:49:29
short,3000,01.03.2023 04:55:18
long,3000,01.03.2023 05:18:47
short,3000,01.03.2023 08:54:18
long,3000,01.03.2023 09:18:47
short,3000,01.03.2023 12:30:24
long,3000,01.03.2023 13:29:41
long,3000,01.03.2023 13:34:14
long,3000,01.03.2023 14:18:48
long,3000,01.03.2023 14:37:43
short,3000,01.03.2023 14:42:15
short,3000,01.03.2023 14:49:20
long,3000,01.03.2023 14:59:02
long,3000,01.03.2023 15:06:34
long,3000,01.03.2023 16:08:58
short,3000,01.03.2023 16:47:31
long,3000,01.03.2023 19:49:14
long,3000,01.03.2023 19:53:19
long,3000,01.03.2023 19:59:04
long,3000,01.03.2023 20:18:48
short,3000,01.03.2023 21:37:25
long,3000,01.03.2023 22:18:47
long,3000,01.03.2023 22:23:41
short,3000,02.03.2023 00:18:45
short,3000,02.03.2023 00:22:12
long,3000,02.03.2023 01:38:46
long,3000,02.03.2023 06:12:33
long,3000,02.03.2023 06:18:48
long,3000,02.03.2023 07:24:32
long,3000,02.03.2023 08:18:48
long,3000,02.03.2023 12:31:49
long,3000,02.03.2023 13:12:37
long,3000,02.03.2023 13:18:47
long,3000,02.03.2023 14:09:02
long,3000,02.03.2023 14:18:48
short,3000,02.03.2023 18:59:23
short,3000,02.03.2023 20:42:00
short,3000,02.03.2023 20:47:23
long,3000,02.03.2023 21:33:12
long,3000,03.03.2023 01:18:22
long,3000,03.03.2023 01:21:57
long,3000,03.03.2023 01:29:05
short,3000,03.03.2023 01:32:57
long,3000,03.03.2023 01:34:14
long,3000,03.03.2023 01:40:10
short,3000,03.03.2023 01:40:21
long,3000,03.03.2023 01:57:20
short,3000,03.03.2023 02:07:08
long,3000,03.03.2023 02:18:47
short,3000,03.03.2023 02:19:14
short,3000,03.03.2023 09:03:53
long,3000,03.03.2023 13:46:34
short,3000,03.03.2023 13:48:28
short,3000,03.03.2023 14:04:59
long,3000,03.03.2023 14:18:48
long,3000,03.03.2023 15:18:47
short,3000,03.03.2023 17:11:34
long,3000,03.03.2023 21:19:19
short,3000,03.03.2023 21:22:44
long,3000,03.03.2023 21:48:47
long,3000,04.03.2023 19:34:19
long,3000,04.03.2023 20:43:52
long,3000,04.03.2023 21:45:42
